220413-04:13:24 [INFO] -- 
220413-04:13:24 [INFO] -- 
220413-04:13:24 [INFO] -- ============================================================
220413-04:13:24 [INFO] -- SLSvrStarter: Application Starting...
220413-04:13:24 [INFO] -- Initialize package data complete.
220413-04:13:25 [INFO] -- timer: starting...
220413-04:13:25 [INFO] -- SLSvr: starting...
220413-04:13:25 [INFO] -- SLSvr: running...
220413-04:13:27 [INFO] -- 127.0.0.1 is connected.
220413-04:13:27 [INFO] -- 127.0.0.1 login as HKGLK01.
220413-04:15:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:15:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:15:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:15:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:15:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:15:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:15:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:15:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:15:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:16:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:16:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:16:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:16:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:16:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:16:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:16:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:16:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:16:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:16:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:17:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:17:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:17:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:17:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:17:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:17:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:17:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:17:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:17:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:17:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:18:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:18:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:18:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:18:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:18:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:18:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:18:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:18:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:18:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:18:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:19:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:19:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:19:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:19:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:19:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:19:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:19:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:19:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:19:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:19:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:20:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:20:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:20:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:20:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:20:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:20:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:20:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:20:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:20:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:20:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:21:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:21:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:21:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:21:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:21:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:21:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:21:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:21:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:21:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:21:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:22:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:22:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:22:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:22:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:22:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:22:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:22:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:22:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:22:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:22:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:23:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:23:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:23:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:23:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:23:25 [INFO] -- Request system diagnostic for locker #HKGLK01
220413-04:23:25 [WARNING] -- Request system diagnostic fail. Locker #HKGLK02 is disconnected.
220413-04:23:25 [WARNING] -- Request system diagnostic fail. Locker #HKGLK03 is disconnected.
220413-04:23:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:23:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:23:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:23:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:23:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:23:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:24:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:24:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:24:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:24:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:24:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:24:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:24:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:24:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:24:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:24:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:25:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:25:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:25:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:25:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:25:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:25:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:25:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:25:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:25:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:25:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:26:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:26:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:26:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:26:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:26:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:26:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:26:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:26:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:26:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:26:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:27:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:27:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:27:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:27:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:27:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:27:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:27:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:27:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:27:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:27:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:28:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:28:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:28:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:28:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:28:27 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:28:33 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:28:39 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:28:45 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:28:51 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:28:57 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:29:03 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:29:09 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:29:15 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:29:21 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:29:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:29:34 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:29:40 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:29:46 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:29:52 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:29:58 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:30:04 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:30:10 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:30:16 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:30:22 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:30:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:30:34 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:30:40 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:30:46 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:30:52 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:30:58 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:31:04 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:31:10 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:31:16 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:31:22 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:31:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:31:34 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:31:40 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:31:46 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:31:52 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:31:58 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:32:04 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:32:10 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:32:16 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:32:22 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:32:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:32:34 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:32:40 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:32:46 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:32:52 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:32:58 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:33:04 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:33:10 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:33:16 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:33:22 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:33:25 [INFO] -- Request system diagnostic for locker #HKGLK01
220413-04:33:25 [WARNING] -- Request system diagnostic fail. Locker #HKGLK02 is disconnected.
220413-04:33:25 [WARNING] -- Request system diagnostic fail. Locker #HKGLK03 is disconnected.
220413-04:33:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:33:34 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:33:40 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:33:46 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:33:52 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:33:58 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:34:04 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:34:10 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:34:16 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:34:22 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:34:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:34:34 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:34:40 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:34:46 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:34:52 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:34:58 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:35:04 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:35:10 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:35:16 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:35:22 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:35:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:35:34 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:35:40 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:35:46 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:35:52 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:35:58 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:36:04 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:36:10 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:36:16 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:36:22 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:36:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:36:34 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:36:40 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:36:46 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:36:52 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:36:58 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:37:04 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:37:10 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:37:16 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:37:22 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:37:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:37:34 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:37:40 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:37:46 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:37:52 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:37:58 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:38:04 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:38:10 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:38:16 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:38:22 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:38:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:38:34 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:38:40 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:38:46 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:38:52 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:38:58 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:39:04 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:39:10 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:39:16 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:39:22 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:39:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:39:34 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:39:40 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:39:46 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:39:52 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:39:58 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:40:04 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:40:10 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:40:16 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:40:22 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:40:28 [INFO] -- Handle Poll for locker #HKGLK01.
220413-04:40:34 [INFO] -- Handle Poll for locker #HKGLK01.
